gene,Cell_ID,Sample,log1TPM,treatment,Polarity,sample_mean_log1TPM,log1RPM,log1RPM_posterior,sample_mean_log1TPM_posterior,Skew,coeff,p_value,q_value,sig,domain
SteCoe_33003,con1,con1A,2.34645535982052,con,A,2.0254266536700314,4.371882013490551,4.145870558033851,2.0293517934182708,0.02653416538680365,0.4503619925247824,0.028830305475746408,0.1439858128307041,True,hypothetical protein
SteCoe_33099,con1,con1A,2.3416287690029502,con,A,2.0254266536700314,4.367055422672982,3.877884422879551,2.0293517934182708,0.05932984460248043,0.46760282554941396,0.0382203801907643,0.14692748008469417,True,hypothetical protein
SteCoe_33112,con1,con1A,1.7511236355528101,con,A,2.0254266536700314,3.7765502892228415,4.27588477505215,2.0293517934182708,-0.0620103710049932,0.20841193780800693,0.08544227086748313,0.16284940239901127,False,hypothetical protein
SteCoe_33278,con1,con1A,3.29023432838374,con,A,2.0254266536700314,5.315660982053771,5.373511148815631,2.0293517934182708,-0.005412034351546585,0.6482503067049569,0.01715903267379699,0.13816979920631034,True,hypothetical protein
SteCoe_33299,con1,con1A,1.27454285724274,con,A,2.0254266536700314,3.2999695109127716,3.404889855633321,2.0293517934182708,-0.01564840349136174,0.9505039383926431,0.150625774165202,0.1942442976454235,False,hypothetical protein
SteCoe_33323,con1,con1A,5.0873750797724195,con,A,2.0254266536700314,7.112801733442451,6.760912898218101,2.0293517934182708,0.02536370716616305,0.42165403500237886,0.09049008108916283,0.1633394965508354,False,hypothetical protein
SteCoe_33455,con1,con1A,2.75032313299689,con,A,2.0254266536700314,4.775749786666921,5.55644303052321,2.0293517934182708,-0.07555929875383423,0.3007731173312178,0.08163312522655466,0.16284940239901127,False,hypothetical protein
SteCoe_33476,con1,con1A,1.45976041538084,con,A,2.0254266536700314,3.4851870690508715,3.688096259054171,2.0293517934182708,-0.0282867943063531,0.5550721695902039,0.05258371171787645,0.15259340647277359,False,hypothetical protein
SteCoe_33553,con1,con1A,3.01759179478226,con,A,2.0254266536700314,5.043018448452291,4.614794207960741,2.0293517934182708,0.04433967148940279,0.29942525851758556,0.05709076706794491,0.15259340647277359,False,hypothetical protein
SteCoe_33555,con1,con1A,0.760906518418624,con,A,2.0254266536700314,2.7863331720886553,3.2620746085686605,2.0293517934182708,-0.07865564851652639,0.39491860766168296,0.026396972947938253,0.14346180949966442,True,hypothetical protein
SteCoe_33565,con1,con1A,4.76065126837176,con,A,2.0254266536700314,6.786077922041791,6.574834447744701,2.0293517934182708,0.01581055757650073,0.797275955600636,0.2466982633805361,0.2613329061234493,False,hypothetical protein
SteCoe_33586,con1,con1A,3.03118964163375,con,A,2.0254266536700314,5.056616295303781,5.0184834051234,2.0293517934182708,0.0037848647967984074,0.8742790800725431,0.08769824851783474,0.16284940239901127,False,hypothetical protein
SteCoe_33610,con1,con1A,3.2056454534397,con,A,2.0254266536700314,5.231072107109732,5.634402252963831,2.0293517934182708,-0.03712034398941495,0.1085297168531614,0.005822329850877152,0.11935874542240989,True,hypothetical protein
SteCoe_33886,con1,con1A,1.66834586541552,con,A,2.0254266536700314,3.6937725190855515,3.7116052087241806,2.0293517934182708,-0.0024080729294417083,1.375439329815928,0.22933093342571545,0.24819365089363143,False,hypothetical protein
SteCoe_33979,con1,con1A,2.48560206441668,con,A,2.0254266536700314,4.5110287180867115,4.319292635458531,2.0293517934182708,0.02171337541993319,0.7395681455685759,0.0993710565760064,0.16996713570163244,False,hypothetical protein
SteCoe_34068,con1,con1A,3.3720422135927004,con,A,2.0254266536700314,5.397468867262732,5.178991092041201,2.0293517934182708,0.02065698504624313,0.034891417592201955,0.027623392488612657,0.1439858128307041,True,hypothetical protein
SteCoe_34260,con1,con1A,2.7317126279439106,con,A,2.0254266536700314,4.7571392816139415,4.872610121292451,2.0293517934182708,-0.011991053437346817,1.1802609532706463,0.10554614521708502,0.17406604334240652,False,hypothetical protein
SteCoe_34288,con1,con1A,3.32244775394862,con,A,2.0254266536700314,5.347874407618651,5.020027675609991,2.0293517934182708,0.03162131831269823,0.9889426764819421,0.21226112977641293,0.2384956514341718,False,hypothetical protein
SteCoe_34381,con1,con1A,0.665397798294594,con,A,2.0254266536700314,2.6908244519646254,2.7888020391993615,2.0293517934182708,-0.017880340456183842,0.8864065950929924,0.14461586083632066,0.1902840274162114,False,hypothetical protein
SteCoe_34549,con1,con1A,4.9245449652036,con,A,2.0254266536700314,6.949971618873631,6.662298828631351,2.0293517934182708,0.02113334372481618,0.8065487274086628,0.2934493769789775,0.30128272790449434,False,hypothetical protein
SteCoe_34610,con1,con1A,1.9883600932376497,con,A,2.0254266536700314,4.013786746907681,4.022257090193291,2.0293517934182708,-0.0010540439372049761,1.96750633483424,0.09960074152115661,0.16996713570163244,False,hypothetical protein
SteCoe_34632,con1,con1A,0.7366447714979929,con,A,2.0254266536700314,2.762071425168024,2.393556753032308,2.0293517934182708,0.07147813213022533,0.8398278787618217,0.07536413412223811,0.16048814284223803,False,hypothetical protein
SteCoe_34641,con1,con1A,1.7120711054525102,con,A,2.0254266536700314,3.7374977591225416,3.3116022772418208,2.0293517934182708,0.06041841932780689,0.7947106393946822,0.15483157987819507,0.1966624218968892,False,hypothetical protein
SteCoe_34843,con1,con1A,0.828289978227496,con,A,2.0254266536700314,2.8537166318975276,3.235719749441981,2.0293517934182708,-0.0627320976231996,0.26902121911545546,0.06847208755250944,0.15632896701486174,False,hypothetical protein
SteCoe_34971,con1,con1A,2.19848525512269,con,A,2.0254266536700314,4.223911908792721,3.9143077264934707,2.0293517934182708,0.03804323257102202,0.5098164162016963,0.03158146215401949,0.1439858128307041,True,hypothetical protein
SteCoe_3506,con1,con1A,0.754346726420502,con,A,2.0254266536700314,2.7797733800905333,3.105833690225671,2.0293517934182708,-0.05539960555294426,0.5854453430305026,0.08225134090300744,0.16284940239901127,False,SHIPPO-rpt domain protein
SteCoe_35154,con1,con1A,0.532827392101877,con,A,2.0254266536700314,2.5582540457719083,2.8799424198914747,2.0293517934182708,-0.059153503583531344,1.0300469311740563,0.1010600510502434,0.17013476607785086,False,hypothetical protein
SteCoe_35370,con1,con1A,4.8787856136329,con,A,2.0254266536700314,6.904212267302931,6.591781975987581,2.0293517934182708,0.023149853629396307,0.35500181774094813,0.123404019527237,0.182011828211264,False,hypothetical protein
SteCoe_35463,con1,con1A,4.53386158522288,con,A,2.0254266536700314,6.559288238892911,6.418665848369251,2.0293517934182708,0.01083548220144196,0.43560887362169687,0.14951926389320372,0.1942442976454235,False,hypothetical protein
SteCoe_3553,con1,con1A,0.684570676083874,con,A,2.0254266536700314,2.7099973297539055,2.739034179917364,2.0293517934182708,-0.005328809369503922,1.2341241854496638,0.06234767445652422,0.15357880725811787,False,hypothetical protein
SteCoe_35539,con1,con1A,1.50129968195378,con,A,2.0254266536700314,3.5267263356238114,3.396189498905891,2.0293517934182708,0.01885575960158821,0.48821606688603625,0.1307468177120668,0.183254595192697,False,hypothetical protein
SteCoe_35594,con1,con1A,0.439349596136531,con,A,2.0254266536700314,2.4647762498065626,2.6484511240849535,2.0293517934182708,-0.035921515091671304,0.41374323429204174,0.012791628550804244,0.13816979920631034,True,hypothetical protein
