"","A1","A2","A6","P1","P2","P6"
"SteCoe_10177",1785.39222795599,1691.37459938424,1760.48795771764,2029.81372787145,2181.42753812917,2065.36298650527
"SteCoe_10178",68.749729820033,80.5398308033152,55.0164311869423,58.696755049876,37.2281640506247,71.4167268603233
"SteCoe_10180",253.706217154077,240.217569788042,274.40301616311,313.340189843999,361.446183866963,312.30583414092
"SteCoe_10181",641.818033913088,803.802302816596,634.139900439011,695.241144957324,554.837110194705,724.905113745621
"SteCoe_10182",263.558904108036,282.787151572933,327.391010618084,399.882858126509,362.541331772904,329.803529479413
"SteCoe_10183",7.3569635310861,10.6915402202223,14.4268468267098,31.7194563061314,26.2474358025499,28.9334706130075
"SteCoe_10184",725.697728686474,735.009301840422,951.322739530821,1342.10309758505,1285.72315487267,1161.92079706695
"SteCoe_10185",2,4,1,4,0,1
"SteCoe_10186",767.683898150413,798.754694320826,682.982439240656,828.274721211306,816.369533268642,960.484437267598
"SteCoe_10187",0,0,0,3,1,0
"SteCoe_10188",1140.17894185921,1140.03466186421,1107.12303178225,1456.72328058607,1432.06904050716,1518.88698925492
"SteCoe_10189",399.717563258305,400.042139946066,400.695925597057,456.191056441196,444.095438352623,441.383062462873
"SteCoe_1019",4382.47010489202,4496.79631128109,4230.72048169123,4860.83499018328,4872.54414278978,4760.94528096719
"SteCoe_10191",225.592739556631,254.631986335461,212.077618889948,250.957852533668,223.270104087143,254.231255847663
"SteCoe_10192",695.103486925358,742.676346481531,627.867541373867,824.282373864364,741.696237269497,905.679211786445
"SteCoe_10193",9.29666651817451,11.5722978350409,7.79095168691485,13.8169156285068,9.64223616521647,17.0263647004654
"SteCoe_10194",133.103077956343,135.646477451532,221.476957126569,285.856109186983,256.875628706516,200.631660240123
"SteCoe_10195",21.3099703385714,23.1713027908589,16.4942514982501,18.2531774929436,17.7424713723795,24.5916161948864
"SteCoe_10196",0,0,0,0,0,0
"SteCoe_10197",11557.7594429391,11404.0586914432,10534.2358214371,11309.4590088684,11770.2814821751,11591.6034753933
